van_ban,phu_luc,nhom,muc_cha,stt,ma_hs,mo_ta
TT 41/2026/TT-BCT,"Phụ lục I - Phế liệu tạm ngừng KD tạm nhập, tái xuất",,,17,8108.30.00,- Phế liệu và mảnh vụn
TT 41/2026/TT-BCT,"Phụ lục I - Phế liệu tạm ngừng KD tạm nhập, tái xuất",,,18,,- Phế liệu và mảnh vụn:
TT 41/2026/TT-BCT,"Phụ lục I - Phế liệu tạm ngừng KD tạm nhập, tái xuất",,,19,8109.31.00,- - Chứa hàm lượng hafini trong zircon dưới 1/500 tính theo khối lượng
TT 41/2026/TT-BCT,"Phụ lục I - Phế liệu tạm ngừng KD tạm nhập, tái xuất",,,20,8109.39.00,- - Loại khác
TT 41/2026/TT-BCT,"Phụ lục I - Phế liệu tạm ngừng KD tạm nhập, tái xuất",,,21,8110.20.00,- Phế liệu và mảnh vụn
TT 41/2026/TT-BCT,"Phụ lục I - Phế liệu tạm ngừng KD tạm nhập, tái xuất",,,22,,- Beryli:
TT 41/2026/TT-BCT,"Phụ lục I - Phế liệu tạm ngừng KD tạm nhập, tái xuất",,,23,8112.13.00,- - Phế liệu và mảnh vụn
TT 41/2026/TT-BCT,"Phụ lục I - Phế liệu tạm ngừng KD tạm nhập, tái xuất",,,24,,- Crôm:
TT 41/2026/TT-BCT,"Phụ lục I - Phế liệu tạm ngừng KD tạm nhập, tái xuất",,,25,8112.22.00,- - Phế liệu và mảnh vụn
TT 41/2026/TT-BCT,"Phụ lục I - Phế liệu tạm ngừng KD tạm nhập, tái xuất",,,26,,- Hafini:
TT 41/2026/TT-BCT,"Phụ lục I - Phế liệu tạm ngừng KD tạm nhập, tái xuất",,,27,8112.31.00,- - Chưa gia công; phế liệu và mảnh vụn; bột
TT 41/2026/TT-BCT,"Phụ lục I - Phế liệu tạm ngừng KD tạm nhập, tái xuất",,,28,,- Reni:
TT 41/2026/TT-BCT,"Phụ lục I - Phế liệu tạm ngừng KD tạm nhập, tái xuất",,,29,8112.41.00,- - Chưa gia công; phế liệu và mảnh vụn; bột
